repo	skill	disposition	salience_module	rationale
charlie947/social-media-skills	voice-builder	MERGE	salience-voice	F3/F4 — record voice ABSENCE with counts; keep contradictory samples rather than smoothing them
charlie947/social-media-skills	youtube-thumbnail	NOT-TAKEN	—	no image-generation feature exists.
claude-dev-code/claude-skills-linkedin	linkedin-enrich	REFUSED	salience-governance	"Two refusals at once: credential-based login on the user's behalf (email+password or session token into a third-party API), and rate-limit evasion — the ""safety caps"" exist expressly to stay under LinkedIn's detection th"
claude-dev-code/claude-skills-linkedin	linkedin-feed-engage	REFUSED	salience-governance	Not a gap — this is exactly what salience-governance refuses. The skill is a session-based (linkupapi MCP, logged-in account) feed scanner that auto-generates and auto-posts comments on prospects' posts, with randomized 
claude-dev-code/claude-skills-linkedin	linkedin-high-intent	REFUSED	salience-governance	The daily cap, pre-filtering, and anti-spam-pattern detection are genuinely careful engineering, but they sit on top of two refused techniques: scraping a post's engagers via an authenticated linkupapi session, then send
claude-dev-code/claude-skills-linkedin	linkedin-outreach	REFUSED	salience-governance	Not a gap — a direct hit on Salience's refusal list. This skill is an 8-stage pipeline that sends live connection requests and webhook-triggered automated follow-up DMs through a LinkedIn automation MCP, with explicit an
cocodedk/in-optimizer	cyber-news	REFUSED	salience-governance	Not a gap — a direct hit on three separate refusals at once: session reuse (persisted, shared .profile/ login directory across tools), logged-in UI automation dressed up as human input (bezier-curve mouse jitter, randomi
cocodedk/in-optimizer	post / comment cleaners	REFUSED	salience-governance	Bulk deletion via logged-in DOM automation with detection-aware pacing
davila7/claude-code-templates	data-feeds	REFUSED	salience-data	Salience's data.refuse_always list bans rate_limit_evasion and captcha_bypass. A commercial scraping API like Bright Data exists specifically to absorb and route around a target site's own rate-limiting and bot-detection
davila7/claude-code-templates	inference-serving-sglang	NOT-TAKEN	—	off-topic AI infra skill
davila7/claude-code-templates	linkedin-profile-optimizer	NOT-TAKEN	—	Nothing to take — generic advice, superseded by Salience.
davila7/claude-code-templates	marketing-demand-acquisition	NOT-TAKEN	—	out-of-scope paid-media playbook
davila7/claude-code-templates	paid-ads	CONFIRMATION	salience-analytics	Reinforces the already-reported finding that Salience's sample-size guard is one flat global number (min_samples_before_concluding: 5) and too low. paid-ads shows a directly comparable domain (paid-channel experimentatio
davila7/claude-code-templates	social-content	NOT-TAKEN	—	generic multi-platform boilerplate, mostly duplicative
ekawijayasusilo/pluginize	linkedin-profile-optimizer	CONFIRMATION	salience-profile / salience-career	Disposition: CONFIRMATION (x3) + PARTIAL
getaero-io/deepline-plugins	deepline-ads-audiences	PARTIAL	salience-governance	"Salience's approval matrix blocks ""Call a paid third-party service"" pending ""Explicit approval, with expected cost stated"" but never says that cost has to be fetched live rather than remembered from earlier in the sessio"
getaero-io/deepline-plugins	deepline-plays	CONFIRMATION	(core evidence contract, not a specific module)	"Not a gap — an unrelated GTM data-engineering skill (not LinkedIn, not even marketing-copy-adjacent) independently arrives at the same discipline Salience's evidence contract already states as core: ""Never let a gap disa"
getaero-io/deepline-plugins	linkedin-url-lookup	MERGE	all modules	F33 — invoking a sub-skill must not bypass the parent's gate
heymitch	linkedin-profile-optimizer	NOT-TAKEN	—	duplicates Salience's evidence contract
heymitch/content-ai-starter-pack	ai-pattern-hunter	MERGE	salience-voice	F30 — severity weighting, located quotes, narrow rewrite scope, Contrast Framing category
heymitch/content-ai-starter-pack	linkedin-engagement	PARTIAL	salience-engage	Salience config has outreach_followups_max: 1 (one follow-up, then stop) but nothing visible states a first-message escalation rule. UNVERIFIED — reviewer should check skills/salience-engage/SKILL.md for whether DM-draft
itchernetski/threads-carousel-claude-skill	threads-carousel	NOT-TAKEN	—	visual slide-design tool, out-of-scope
jantoniofc	competitive-ads-extractor	NOT-TAKEN	—	ad-library research, out of scope.
jantoniofc/skillsbank	ad-creative	NOT-TAKEN	—	paid-ads copywriting, out of scope.
jantoniofc/skillsbank	connections-optimizer	PARTIAL	salience-governance / salience-engage	"Salience's governance approval matrix (11 rows) has no line item for removing or unfollowing a connection — only for sending one (send_connection_request). salience-engage's description covers ""who matters... prioritizes"
jantoniofc/skillsbank	content-engine	NOT-TAKEN	—	Nothing to take — thin, redundant repurposing logic.
jantoniofc/skillsbank	crosspost	NOT-TAKEN	—	multi-platform; LinkedIn-only tool, irrelevant.
jantoniofc/skillsbank	linkedin-cli	REFUSED	salience-governance	Refuses the whole technique this skill is built on: automating actions through a connected LinkedIn account via a third-party cloud browser (session/token-based logged-in UI automation), including its bulk connection-req
jantoniofc/skillsbank	linkedin-content	NOT-TAKEN	—	duplicative generic content advice
jantoniofc/skillsbank	linkedin-content-generator	NOT-TAKEN	none	This is a generic, one-size-fits-all best-practices content generator (fixed hook/readability/hashtag rules applied to everyone). It's the exact approach already-found F2 says Salience should reject: score against the us
jantoniofc/skillsbank	linkedin-profile-optimizer	MERGE	salience-positioning	"salience-positioning covers ""differentiation, value propositions per audience"" but the module description names no explicit mechanism for the portfolio-career case — someone who is simultaneously a fractional CMO, a boar"
jantoniofc/skillsbank	marketing-demand-acquisition	NOT-TAKEN	—	generic ad-channel playbook, non-transferable.
jantoniofc/skillsbank	social-media-carousel	PARTIAL	salience-content	"Salience-content's stated content types are ""posts, long-form articles, newsletters, case studies, and repurposing"" — the multi-slide carousel / ""document post"" is not among them, despite being a distinct, high-engagemen"
jantoniofc/skillsbank	social-metadata-hardening	CONFIRMATION	salience-content	Matches the already-reported category of platform mechanics that explain and support Salience's own thesis — a concrete instance (LinkedIn's link-preview caching and tag-support asymmetry) rather than a new category of f
jantoniofc/skillsbank	social-post-writer-seo	NOT-TAKEN	—	generic template, less rigorous than Salience
jantoniofc/skillsbank	socialclaw	NOT-TAKEN	—	Nothing to take — self-blocks for both Claude and Codex in its own metadata; its per-action confirmation requirement already matches Salience's approval-card model.
jantoniofc/skillsbank — Rube MCP	linkedin-automation	PARTIAL	salience-governance	"Salience's approval matrix (brief/salience-modules.md) has a row for ""Edit the live LinkedIn profile"" (blocked, per-section approval) and a separate row for ""Delete anything from the store"" (blocked, explicit confirmatio"
Linked-API/linkedin-skills	linkedin	REFUSED	salience-governance	Same refused premise as linkedin-cli above (same underlying third-party service, different repo) — logged-in UI automation via a persistent connected-account session, plus bulk connection and messaging actions. Its one d
Linked-API/linkedin-skills	linkedin-growth	REFUSED	salience-governance	"This is a scheduled, automated, multi-account connection-request pipeline — exactly what Salience's refusal list names outright: ""Bulk connection requests"" and ""Automated multi-step outreach sequences."" Nothing to merge;"
longleo287/omniclaw	content_engine	NOT-TAKEN	—	generic, thin LinkedIn guidance.
longleo287/omniclaw	crosspost	NOT-TAKEN	—	multi-platform, out of Salience's LinkedIn-only scope.
longleo287/omniclaw	media_writer	PARTIAL	salience-content	UNVERIFIED — Salience's module description doesn't say whether repurposing explicitly guards against source-platform tone bleed (a blog post read verbatim-then-trimmed vs. actually rewritten as LinkedIn-native) or simply
mardab96	lead-gen-form-optimizer-linkedin-ads	NOT-TAKEN	—	ads funnel mechanics, out of scope.
mardab96	scaling-planner-linkedin-ads	NOT-TAKEN	—	paid-ads budget scaling, out of scope.
mardab96/linkedin-ads-claude-skills	(cross-skill method)	MERGE	salience (evidence contract)	F42/F43/F44 — attribute causation or say unknown; state the threshold that would settle it; data minimization on import
mardab96/linkedin-ads-claude-skills	account-triage	MERGE	salience-profile	F45 — reduced-scope modes must name their own limits
mardab96/linkedin-ads-claude-skills	account-triage-linkedin-ads	PARTIAL	salience-profile (also salience-positioning, salience-analytics)	Salience's own scoring config keys its weighted audit to a goal (executive_search/consulting/authority in salience-modules.md), which implies a goal is expected — but nothing in the brief says the audit *refuses to score
mardab96/linkedin-ads-claude-skills	audience-targeting-audit-linkedin-ads	PARTIAL	salience-profile / salience-content (config-threshold discipline, cross-cutting)	Salience's config.yaml defaults (headline_char_target: 220, about_word_target: [200,300], default_cadence_per_week: 2, pillar_mix ranges, min_samples_before_concluding: 5) are applied as fixed numbers. Nothing in salienc
mardab96/linkedin-ads-claude-skills	bid-budget-sanity-check-linkedin-ads	PARTIAL	salience-analytics	salience-analytics' config defaults carry min_samples_before_concluding: 5 and review_windows_days: [7, 30] but nothing that screens out a window containing a confounding mid-flight change — e.g., the user changed both t
mardab96/linkedin-ads-claude-skills	conversion-tracking-audit-linkedin-ads	CONFIRMATION	salience-analytics	"Same ""verify the mechanism, not just the surface number"" principle already flagged (F13, F42) applied to ad-tracking rather than career facts. Independent confirmation."
mardab96/linkedin-ads-claude-skills	cpl-vs-crm-reconciliation-linkedin-ads	CONFIRMATION	salience-analytics	Same fabrication-refusal discipline as the evidence contract, applied to a pipeline-reconciliation domain. Independent confirmation, not new.
mardab96/linkedin-ads-claude-skills	creative-fatigue-audit-linkedin-ads	PARTIAL	salience-analytics	Salience-analytics has a sample-size floor (min_samples_before_concluding: 5) and outcome-tier ordering, but nothing in the config or module description requires ruling out confounds (posting-time change, algorithm shift
mardab96/linkedin-ads-claude-skills	demographics-leak-finder-linkedin-ads	NOT-TAKEN	—	Nothing to take — ad-spend domain, redundant discipline.
mardab96/linkedin-ads-claude-skills	frequency-fatigue-check-linkedin-ads	CONFIRMATION	salience-analytics	Reinforces the already-found F18 critique (Salience's sample-size guard is one global number and it is too low) by showing a sibling domain treating *every* threshold, not just sample size, as tunable and required to be 
mardab96/linkedin-ads-claude-skills	wasted-spend-finder-linkedin-ads	CONFIRMATION	none (evidence contract, general)	"This is the same ""never invent, flag the gap"" discipline already central to Salience's evidence contract (verified/stated/inferred/gap tiers) and already covered by prior findings on fabrication-refusal. An independent a"
mardab96/linkedin-ads-claude-skills	weekly-operator-digest	MERGE	salience (output contract)	F41 — 'nothing needs you' is a valid headline; do not manufacture a decision
mardab96/linkedin-ads-claude-skills	weekly-operator-digest-linkedin-ads	CONFIRMATION	salience (output contract)	"None — this is F41 (""do not manufacture a decision when nothing needs deciding"") independently reached from an ads-reporting domain. Confirms the output contract's [NEXT] — exactly one, or omit and ""Omit when the work is"
mattvolta/outworkos_diy	post-linkedin	NOT-TAKEN	—	Nothing to take — publishes via the official OAuth LinkedIn API with a mandatory preview-before-publish step; already matches Salience's approval-card model.
mattvolta/outworkos_diy	scrape-linkedin	NOT-TAKEN	—	confirms tiered-retrieval pattern only
mehul-fanawala/linkedin-carousel-skill	linkedin-carousel-skill	NOT-TAKEN	—	visual production tool, out of scope.
msapps-mobile/claude-plugins	bulk-scrape	NOT-TAKEN	—	thin stub, already governed.
msapps-mobile/claude-plugins	digital-presence	NOT-TAKEN	—	Nothing to take — thin, weaker governance than Salience.
msapps-mobile/claude-plugins	enrich-lead	PARTIAL	salience-data	"UNVERIFIED — reviewer should check salience-data's actual module file for whether ""resolving a person or company to a profile"" (per its description) has an explicit ambiguous-match flow. The pattern here — fail fast, loo"
msapps-mobile/claude-plugins	scrape-company	NOT-TAKEN	—	"Nothing to take — thin, malformed file; its ""confirm before scrape, respect ToS"" note is already covered by Salience's governance model."
msapps-mobile/claude-plugins	scrape-profile	NOT-TAKEN	—	thin stub, already governed.
robomotionio	company-contact-finder	NOT-TAKEN	—	sales prospecting, out of scope.
robomotionio	linkedin-job-scraper	NOT-TAKEN	—	bulk job-listing scraping, out of scope.
robomotionio	luma-event-attendees	NOT-TAKEN	—	third-party lead-gen scraping, out of scope.
robomotionio/robomotion-skills	ad-campaign-analyzer	CONFIRMATION	salience-analytics (transferred from paid-ads domain)	Matches F20 (put statistics in code so narrative can't inflate them) and F18 (Salience's sample-size guard is one global number and it's too low — Salience's config has a single min_samples_before_concluding: 5). This sk
robomotionio/robomotion-skills	ad-creative	CONFIRMATION	salience-content (transferred from paid-ads domain)	"Matches F19 (""test angles, not wording"") — independently arrived at in a paid-ads-creative context rather than organic content."
robomotionio/robomotion-skills	ads	NOT-TAKEN	—	general multi-platform paid ads
robomotionio/robomotion-skills	champion-move-outreach	MERGE	salience-engage	F21 — never lie about how you found someone
robomotionio/robomotion-skills	champion-tracker	REFUSED	salience-governance	Not a gap — a clean second hit on the refusal list, distinct in mechanism from linkedin-outreach above. This is recurring, scheduled scraping of named individuals' profiles using a raw captured LinkedIn session cookie (l
robomotionio/robomotion-skills	company-current-gtm-analysis	CONFIRMATION	salience-data / evidence contract	"No gap — this independently arrives at the same discipline the evidence contract already enforces (never invent, flag what's unverified) and the same leverage-ranking behavior salience-profile already claims (""ranks fixe"
robomotionio/robomotion-skills	competitor-post-engagers	PARTIAL	salience-engage	F22 — human qualitative pass required after algorithmic scoring
robomotionio/robomotion-skills	content-to-pipeline	NOT-TAKEN	—	generic GTM playbook, not exec-specific.
robomotionio/robomotion-skills	create-linkedin-content	CONFIRMATION	salience-content (extends F20's logic to a new domain)	Extends F20 (put statistics in code so the narrative can't inflate them) from numbers to format/banned-phrase compliance: a small deterministic script checks the LLM's own output mechanically instead of the LLM self-asse
robomotionio/robomotion-skills	customer-win-back-sequencer	REFUSED	salience-governance	None to take — naming the technique this skill treats as a normal default-degraded feature (auto-launching a multi-touch win-back sequence on LinkedIn via PhantomBuster when a key is present) is precisely what Salience's
robomotionio/robomotion-skills	funding-signal-outreach	REFUSED	salience-governance	This is a funding-signal-triggered, multi-step automated outreach pipeline that hands off to programmatic senders (Lemlist/Instantly/SendGrid/PhantomBuster) once an API key is present. Salience's refused-outright list ba
robomotionio/robomotion-skills	generate-voice-guide	MERGE	salience-voice	F16/F17 — second arrival at evidence-before-banning; sample-and-feedback loop with a floor
robomotionio/robomotion-skills	hiring-signal-outreach	PARTIAL	salience-consulting	"salience-consulting covers ""prospect and account research, outreach that does not read as outreach"" but the module surface names no explicit timing/staleness discipline for signal-based outreach. This skill's core insigh"
robomotionio/robomotion-skills	kol-content-monitor	PARTIAL	salience-content	"salience-content plans ""content pillars, editorial calendar... post ideas"" but nothing in its scope grounds ""what should I post about"" in what peer thought-leaders are actually posting about right now — pillar rotation i"
robomotionio/robomotion-skills	kol-discovery	CONFIRMATION	salience-governance	"Matches Salience's own governance rule almost verbatim: ""Call a paid third-party service — Blocked — Explicit approval, with expected cost stated."" Independent arrival from an unrelated GTM tool, not new."
robomotionio/robomotion-skills	kol-engager-icp	REFUSED	salience-governance (would otherwise feed salience-consulting prospect research)	"Salience's config refuse_always list includes session_cookie_reuse and logged_in_ui_automation; governance refuses ""Reusing a captured session"" and ""Automating actions through the logged-in interface as if human."" This s"
robomotionio/robomotion-skills	leadership-change-outreach	REFUSED	salience-governance	"Directly matches two named refusals verbatim: ""Automated multi-step outreach sequences"" and ""Bulk unsolicited messaging."" This skill detects a leadership change at a target company and, when credentials are configured, a"
robomotionio/robomotion-skills	linkedin-commenter-extractor	REFUSED	salience-governance	Same technique as kol-engager-icp above (raw LI_AT session cookie driving headless browser automation), applied to a second LinkedIn surface — comment threads instead of post reactions — to build a warm-lead outreach lis
robomotionio/robomotion-skills	linkedin-influencer-discovery	PARTIAL	salience-data	"salience-data ""selects a retrieval path with graceful fallbacks when direct access is unavailable"" and its config sets a preferred_tier_order, but it's UNVERIFIED whether a person/company resolution that falls back to a "
robomotionio/robomotion-skills	linkedin-message-writer	MERGE	salience-engage	Salience's config (engage.connection_note_char_limit: 300) uses one flat limit with no free/premium distinction. Most executives running a search are on a free account (or haven't upgraded yet), where LinkedIn's actual h
robomotionio/robomotion-skills	linkedin-outreach	REFUSED	salience-governance	"Not a gap — refuse the core function, not just the optional automated-send flag. Even the ""default,"" non-automated path exists solely to bulk-produce personalized outreach sequences formatted for import into third-party "
robomotionio/robomotion-skills	linkedin-post-research	PARTIAL	salience-data	"salience-data already claims ""selecting a retrieval path with graceful fallbacks when direct access is unavailable,"" but its description doesn't say a degraded fetch is marked as degraded in the data itself. This skill's"
robomotionio/robomotion-skills	linkedin-profile-post-scraper	REFUSED	salience-governance	"The fallback path is a raw LinkedIn session cookie (li_at) driving browser automation — exactly Salience's named refusal: ""Collecting, storing, requesting, or using a LinkedIn password, cookie, or session token"" and ""Reu"
robomotionio/robomotion-skills	messaging-ab-tester	MERGE	salience-analytics	F18/F19/F20 — per-channel sample floors; test angles not wording; statistics in code
robomotionio/robomotion-skills	news-signal-outreach	REFUSED	salience-governance	"None to take — flagging this as a technique Salience correctly refuses. ""Web-automation + cookie"" against a LinkedIn login wall is exactly session_cookie_reuse / logged_in_ui_automation on Salience's refuse_always list. "
robomotionio/robomotion-skills	pain-language-engagers	PARTIAL	salience-engage	F23/F24 — pain-vs-solution lexical discipline; intent hierarchy (author outranks engager)
robomotionio/robomotion-skills	seo-local	NOT-TAKEN	—	local SEO, out of scope.
robomotionio/robomotion-skills	signal-detection-pipeline	NOT-TAKEN	—	off-topic B2B sales tooling
robomotionio/robomotion-skills	social	NOT-TAKEN	—	generic multi-platform, already duplicative.
robomotionio/robomotion-skills	social-kit	NOT-TAKEN	—	voice-gate already core Salience design.
robomotionio/robomotion-skills	social-selling	REFUSED	salience-governance	This skill is advisory only — it never calls a tool itself — but it teaches the user to run a scripted multi-step automated DM sequence and recommends specific third-party automation products by their ability to evade Li
robomotionio/robomotion-skills	tech-stack-teardown	PARTIAL	salience-career / salience-consulting	UNVERIFIED — reviewer should check salience-career and salience-consulting module files for whether third-party research (as opposed to the user's own facts) has any confidence/corroboration standard, or whether a single
robomotionio/robomotion-skills	trending-ad-hook-spotter	PARTIAL	salience-content	salience-content plans pillars, calendars, and drafts but has no documented mechanism for spotting a live, time-boxed moment worth posting into. This quantified recency+velocity scoring formula with named urgency tiers i
samber/cc-skills	copywriting-hooks	PARTIAL	salience-content	"Salience's output contract already states the principle (""Options are numbered and differentiated by *strategy*, not by wording. Three headlines that differ only in synonym choice are one headline."") but gives no checkab"
samber/cc-skills	copywriting-prose-creator	MERGE	salience-voice	F25-F32 — sentence-length uniformity beats vocabulary; ESL bias citation; ration signature moves; recorded speech as a voice source; measurable prose targets
samber/cc-skills	copywriting-tone-of-voice-creator	PARTIAL	salience-voice	salience-voice's description is about capturing one fixed voice from real writing samples and flagging off-voice/AI-tell phrasing — nothing in it addresses situational tone modulation. For a job-seeking or consulting exe
samber/cc-skills	linkedin-ghostwriting	PARTIAL	salience-content	"salience-content's description says it ""Scores drafts before publishing and checks every claim against the fact ledger"" — that is a check applied to an already-drafted post. Nothing in the brief describes a pre-draft com"
sergebulaev/linkedin-skills	(repo-wide rule)	CONFIRMATION	salience-governance	F46 — prompt-injection defense; extends attack surface to name/headline display fields
sergebulaev/linkedin-skills	linkedin-best-practices-2026	PARTIAL	salience-content	F11/F12/F13 — platform-mechanics table; self-contradiction recorded, not resolved; Unicode formatting
sergebulaev/linkedin-skills	linkedin-comment-drafter	CONFIRMATION	salience-engage / salience-governance	None — Salience's config already has engage.comment_char_target: [200, 350], an exact match. The prompt-injection defense for content fetched from other people's posts is a further independent arrival at the same discipl
sergebulaev/linkedin-skills	linkedin-content-planner	PARTIAL	salience-content	Salience's content.pillar_mix config sets target ranges (domain_authority 40-50%, etc.) but there's no described mechanism enforcing week-over-week format/hook diversity across the editorial calendar itself — only prose-
sergebulaev/linkedin-skills	linkedin-employee-advocacy	NOT-TAKEN	—	Nothing to take — multi-employee program, out of scope.
sergebulaev/linkedin-skills	linkedin-engager-analytics	PARTIAL	salience-engage	Salience's engage config (outreach_followups_max: 1) governs follow-up volume but has no rule for timing the *first* outreach relative to a trigger event (a post like, a connection acceptance). That's a distinct axis the
sergebulaev/linkedin-skills	linkedin-hook-extractor	PARTIAL	salience-content	salience-content plans and produces the user's own posts, but nothing in its description covers studying a specific peer or competitor post's structure and turning it into a reusable template — narrower and more concrete
sergebulaev/linkedin-skills	linkedin-humanizer	CONFIRMATION	salience-voice	"This independently arrives at already-found F26 (""AI-tell detection is biased against non-native English writers"") via the same Stanford/TOEFL statistic, and its three-tier confidence structure (forensic always-on / stri"
sergebulaev/linkedin-skills	linkedin-profile-optimizer	NOT-TAKEN	—	duplicates salience-profile, less rigorous.
sergebulaev/linkedin-skills	linkedin-reply-handler	CONFIRMATION	salience-engage	Matches F46 (prompt-injection defense, independently arrived at) — a third-plus independent implementation of the same rule (text scraped from a LinkedIn post/comment must never be treated as an instruction or as approva
sergebulaev/linkedin-skills	linkedin-repurposer	PARTIAL	salience-content	Salience's config sets content length/hook targets (hook_char_limit: 210, post_char_sweet_spot: [700, 1300]) but nothing in the visible module surface states a link-placement rule for posts that cite external material. U
sergebulaev/linkedin-skills	linkedin-thread-monitor	PARTIAL	salience-engage	"salience-engage's description covers relationship intelligence only in vague terms — ""what is owed, and when to reconnect"" — with no concrete timing model in what's provided. This skill's window classification is a speci"
sergebulaev/linkedin-skills	sergebulaev~linkedin-skills	CONFIRMATION	n/a — governance / untrusted-data boundary	Matches F46 (prompt-injection defense independently arrived at). Two sibling skills in this same repo — linkedin-engager-analytics and linkedin-hook-extractor, both judged below — restate the identical rule almost verbat
sickn33/antigravity-awesome-skills	linkedin-content-generator	PARTIAL	salience-identity	"salience-identity owns ""memory controls: inspecting, correcting, removing, and exporting stored personal data,"" but nothing in its scope addresses what happens as the fact ledger and interaction history grow over years o"
sickn33/antigravity-awesome-skills	people-data	PARTIAL	salience-governance (Third-party data) / salience-data	"Salience's own ""never invent"" list in the evidence contract enumerates categories explicitly — ""employer, title, date range, metric, client name, award, credential, team size, budget figure, or outcome"" — and does not na"
sickn33/antigravity-awesome-skills	post-writer	MERGE	salience-analytics	F10 — guard against comparing incommensurable metrics
syftdata/gtm-toolkit	email-enrich	NOT-TAKEN	—	Nothing to take — bulk GTM prospecting, out of scope.
syftdata/gtm-toolkit	linkedin-profile-enrich	NOT-TAKEN	—	Nothing to take — bulk GTM prospecting, out of scope.
timkulbaev/mcp-linkedin	timkulbaev-mcp-linkedin	PARTIAL	salience-governance	"The governance approval-card spec requires showing ""the exact content that will be sent, in full"" plus destination, length/cost, and clear approve/change instructions — but it's written assuming every gated action has a "
tjsndhu/aurem	banner-design	NOT-TAKEN	—	generic design tool, sizes well-known
tjsndhu/aurem	design	NOT-TAKEN	—	generic multi-platform design tool.
tjsndhu/aurem	linkedin-cli	REFUSED	salience-governance	"Salience refuses ""Automating actions through the logged-in interface as if human,"" ""Bulk unsolicited messaging,"" ""Bulk connection requests,"" and ""Automated multi-step outreach sequences."" This skill is precisely that — o"
tjsndhu/aurem	social-post-writer-seo	NOT-TAKEN	—	Nothing to take — generic template, weaker than Salience.
unattributed (see phase-2b slice 02)	create-workflow-diagram	NOT-TAKEN	—	diagram tool, not LinkedIn
unattributed (see phase-2b slice 02)	deepline-gtm	NOT-TAKEN	—	bulk enrichment CLI, out-of-scope
unattributed (see phase-2b slice 02)	feature-launch-playbook	NOT-TAKEN	—	product launches, out of scope
unattributed (see phase-2b slice 02)	job-scraper	NOT-TAKEN	—	job sourcing, out of scope
unattributed (see phase-2b slice 02)	langgraph	NOT-TAKEN	—	software framework, not marketing
unattributed (see phase-2b slice 02)	linkedin-employee-advocacy	NOT-TAKEN	—	multi-employee program, out of scope.
unattributed (see phase-2b slice 02)	linkedin-profile-optimizer (jantoniofc) hallucination-prevention gate	NOT-TAKEN	—	already covered ground.
unattributed (see phase-2b slice 02)	post-linkedin	NOT-TAKEN	—	matches existing approval-card pattern already.
unattributed (see phase-2b slice 02)	scrape-company	NOT-TAKEN	—	thin file, no new content.
unattributed (see phase-2b slice 02)	social-media-bio-generator	NOT-TAKEN	—	generic bios, already matched
unattributed (see phase-2b slice 02)	socialclaw	NOT-TAKEN	—	self-blocked, matches existing model.
warpirate/linkedin-maxxing	analyze-performance	MERGE	salience-analytics	F38 — concrete pattern thresholds; median not mean; 8-12 weeks for durability
warpirate/linkedin-maxxing	audit-profile	PARTIAL	salience-profile	"Salience-profile's description says it ""scores every component honestly, ranks fixes by leverage"" but nothing in the visible surface states a rule against promising a quantified *future* outcome from a recommended fix — "
warpirate/linkedin-maxxing	find-ideas	MERGE	salience-content (refusal list should also be referenced from salience-governance)	"Salience's ""Refused outright"" list (checked against the full text in brief/salience-modules.md) covers *actions* — credentials, session reuse, bot-detection bypass, fabricated engagement, bulk messaging, and fabricated f"
warpirate/linkedin-maxxing	plan-content	PARTIAL	salience-content	"Salience's config has one flat number, default_cadence_per_week: 2, with the instruction ""Recommend the cadence the user will keep, not the maximum"" — good judgment, but no named tiers tied to what the user is optimizing"
warpirate/linkedin-maxxing	review-post	MERGE	salience-analytics	F36/F37/F39 — ask for the user's intuition first; comment-quality mechanism; refuse to re-review; maturity gate
warpirate/linkedin-maxxing	rewrite-profile	CONFIRMATION	salience-profile	"Matches F14 (""pin the most role-relevant skills, not the strongest"") — a second, independent arrival at the same rule from a different repo. No new gap; noted as confirmation only."
warpirate/linkedin-maxxing	train-voice	MERGE	salience-voice	F34/F35/F40 — stated preference outranks sample evidence; tier the voice record; capture voice, do not score it
warpirate/linkedin-maxxing	write-dm	PARTIAL	salience-engage	The evidence contract governs factual accuracy and salience-voice governs AI-tell phrasing, but neither is a check for whether a drafted DM would embarrass the user if made public — a distinct, practical integrity test f
warpirate/linkedin-maxxing	write-hook	CONFIRMATION	salience-voice	This is an independent, extensive arrival at territory already reported — the AI-tell detection and voice-capture findings already on file (uniformity as a stronger tell than vocabulary, severity weighting with located q
